"","SMILES1","SMILES2","Similarity","Activity.Difference","Max.Values","SALI"
"CHEMBL348918_CHEMBL162503","C[C@H]1Nc2cc3c(cc2[C@H]1C)c(C(F)(F)F)cc(=O)n3C","Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NCC3",0.98742138,2.21," 7.25","175.694949048465"
"CHEMBL348918_CHEMBL165803","C[C@H]1Nc2cc3c(cc2[C@H]1C)c(C(F)(F)F)cc(=O)n3C","C[C@H]1CC[C@H]2Nc3cc4c(cc3[C@H]2C1)c(C(F)(F)F)cc(=O)n4C",0.98148148,2.28," 7.32","123.119990150401"
"CHEMBL348918_CHEMBL165912","C[C@H]1Nc2cc3c(cc2[C@H]1C)c(C(F)(F)F)cc(=O)n3C","CCCN1c2cc3c(cc2[C@H]2CCCC[C@H]21)c(C(F)(F)F)cc(=O)n3C",0.95061728,2.53," 7.57","51.2324959014003"
"CHEMBL348918_CHEMBL27297","C[C@H]1Nc2cc3c(cc2[C@H]1C)c(C(F)(F)F)cc(=O)n3C","CCC1CCNc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C",0.95092025,2.66," 7.70","54.1975050810161"
"CHEMBL348918_CHEMBL351519","C[C@H]1Nc2cc3c(cc2[C@H]1C)c(C(F)(F)F)cc(=O)n3C","C[C@H]1Nc2cc3c(cc2C1(C)C)c(C(F)(F)F)cc(=O)n3C",0.9691358,2.62," 7.66","84.8879932089605"
"CHEMBL3695597_CHEMBL3695599","C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CC(=O)O1","CC[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34C=CC(=O)O4)[C@@H]21",0.95348837,2.05," 7.05","44.0749980166251"
"CHEMBL3695597_CHEMBL3695602","C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CC(=O)O1","CC[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]21C=CC(=O)O1",0.95348837,2.55," 7.55","54.8249975328751"
"CHEMBL3695597_CHEMBL3695604","C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CC(=O)O1","CC[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4C[C@@H](C)[C@H]3[C@@H]1CC[C@@]21C=CC(=O)O1",0.95348837,2.37," 7.37","50.9549977070251"
"CHEMBL3695597_CHEMBL3695605","C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CC(=O)O1","CC[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(CC)[C@@H](CC[C@@]34C=CC(=O)O4)[C@@H]21",0.95348837,2.12," 7.12","45.5799979489001"
"CHEMBL3695597_CHEMBL3695606","C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CC(=O)O1","C=C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(CC)[C@@H](CC[C@@]34C=CC(=O)O4)[C@H]12",0.95348837,2.3," 7.30","49.4499977747501"
