SMILES,ID
OC1(CCCC2C3=C(C=C(Cl)C(Br)=C3)N=C12)C(F)(F)C(F)(F)F,novel-57
CCC1C(O)CCN1C1=CC=C(C#N)C2=C1C=CC=C2,novel-58
CC1(C)C(O)CCN1C1=CC=C(C#N)C2=C1C=CC=C2,novel-59
CCC1C(CO)CCN1C1=CC=C(C#N)C2=C1C=CC=C2,novel-60
OCC1CCN(C1C#N)C1=CC=C(C#N)C2=C1C=CC=C2,novel-61
CC(C)C1C(CO)CCN1C1=CC=C(C#N)C2=C1C=CC=C2,novel-62
OC1CCN(C1C#N)C1=CC=C(C#N)C2=C1C=CC=C2,novel-63
COC(=O)C1CCN(C1C#N)C1=CC=C(C#N)C2=C1C=CC=C2,novel-64
CC(C)(O)C1CCN(C1C#N)C1=CC=C(C#N)C2=C1C=CC=C2,novel-65
C[C@](O)(COc1ccc(cc1I)C#N)C(=O)N1CCc2c1cccc2C#N,novel-66
C[C@](O)(COc1ccc(cc1C#N)C#N)C(=O)N1CCc2c1cccc2C#N,novel-67
C[C@](O)(COc1ccc(Cl)cc1Br)C(=O)N1CCc2c1cccc2C#N,novel-68
C[C@](O)(COc1ccc(cc1Br)C(F)(F)F)C(=O)N1CCc2c1cccc2C#N,novel-69
C[C@](O)(COc1ccc(cc1C#N)C(F)(F)F)C(=O)N1CCc2c1cccc2C#N,novel-70
